Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0210654731	2.26982865	2.26982865	2.26982865	2.26982865	0	0	0	0	0	0	3
2	2	0	0.0421309461	2.21305717	2.24144291	2.21305717	2.26982865	0.0283857406	0	0	0	0	0	3
3	3	0	0.0631964192	3.32807233	2.60365272	2.21305717	3.32807233	0.362209805	0	0	0	0	0	3
4	3	0	0.0842618922	3.89770337	2.92716538	2.21305717	3.89770337	0.685722468	0	0	0	0	0	3
5	3	0	0.105327365	5.11709611	3.36515152	2.21305717	5.11709611	1.12370861	0	0	0	0	0	3
6	4	0	0.126392838	6.38186942	3.86793784	2.21305717	6.38186942	1.62649493	0	0	0	0	0	3
7	4	0	0.147458311	8.03435318	4.46314003	2.21305717	8.03435318	2.22169712	0	0	0	0	0	3
8	5	0	0.168523784	9.77893516	5.12761442	2.21305717	9.77893516	2.88617151	0	0	0	0	0	3
9	5	0	0.189589258	11.936682	5.88417749	2.21305717	11.936682	3.64273457	0	0	0	0	0	3
10	5	0	0.210654731	14.2495552	6.72071525	2.21305717	14.2495552	4.47927234	0	0	0	0	0	3
11	6	0	0.231720204	17.8937344	7.73644426	2.21305717	17.8937344	5.49500135	0	0	0	0	0	3
12	6	0	0.252785677	21.9982596	8.92492888	2.21305717	21.9982596	6.68348596	0	0	0	0	0	3
13	6	0	0.27385115	26.5357555	10.2796078	2.21305717	26.5357555	8.03816494	0	0	0	0	0	3
14	7	0	0.294916623	31.1926251	11.7733948	2.21305717	31.1926251	9.53195188	0	0	0	0	0	3
15	7	0	0.315982096	35.7290872	13.370441	2.21305717	35.7290872	11.128998	0	0	0	0	0	3
16	8	0	0.337047569	38.7876659	14.9590175	2.21305717	38.7876659	12.7175746	0	0	0	0	0	3
17	8	0	0.358113042	42.0115342	16.550342	2.21305717	42.0115342	14.3088991	0	0	0	0	0	3
18	8	0	0.379178515	44.6645981	18.1122451	2.21305717	44.6645981	15.8708022	0	0	0	0	0	3
19	9	0	0.400243988	46.2182705	19.5915096	2.21305717	46.2182705	17.3500667	0	0	0	0	0	3
