Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0210654731	0	0	0	0	0	0	0	0	0	0	3
2	2	0	0.0421309461	0	0	0	0	0	0	0	0	0	0	3
3	3	0	0.0631964192	0	0	0	0	0	0	0	0	0	0	3
4	3	0	0.0842618922	0	0	0	0	0	0	0	0	0	0	3
5	3	0	0.105327365	0	0	0	0	0	0	0	0	0	0	3
6	4	0	0.126392838	0	0	0	0	0	0	0	0	0	0	3
7	4	0	0.147458311	0	0	0	0	0	0	0	0	0	0	3
8	5	0	0.168523784	0	0	0	0	0	0	0	0	0	0	3
9	5	0	0.189589258	0	0	0	0	0	0	0	0	0	0	3
10	5	0	0.210654731	0	0	0	0	0	0	0	0	0	0	3
11	6	0	0.231720204	0	0	0	0	0	0	0	0	0	0	3
12	6	0	0.252785677	0	0	0	0	0	0	0	0	0	0	3
13	6	0	0.27385115	0	0	0	0	0	0	0	0	0	0	3
14	7	0	0.294916623	0	0	0	0	0	0	0	0	0	0	3
15	7	0	0.315982096	0	0	0	0	0	0	0	0	0	0	3
16	8	0	0.337047569	0	0	0	0	0	0	0	0	0	0	3
17	8	0	0.358113042	0	0	0	0	0	0	0	0	0	0	3
18	8	0	0.379178515	0	0	0	0	0	0	0	0	0	0	3
19	9	0	0.400243988	0	0	0	0	0	0	0	0	0	0	3
20	9	0	0.421309461	0	0	0	0	0	0	0	0	0	0	3
21	9	0	0.442374934	0	0	0	0	0	0	0	0	0	0	3
22	10	0	0.463440407	0	0	0	0	0	0	0	0	0	0	3
23	10	0	0.48450588	0	0	0	0	0	0	0	0	0	0	3
24	11	0	0.505571353	0	0	0	0	0	0	0	0	0	0	3
25	11	0	0.526636827	0	0	0	0	0	0	0	0	0	0	3
26	11	0	0.5477023	0	0	0	0	0	0	0	0	0	0	3
27	12	0	0.568767773	0	0	0	0	0	0	0	0	0	0	3
28	12	0	0.589833246	0	0	0	0	0	0	0	0	0	0	3
29	12	0	0.610898719	0	0	0	0	0	0	0	0	0	0	3
30	13	0	0.631964192	0	0	0	0	0	0	0	0	0	0	3
31	13	0	0.653029665	0	0	0	0	0	0	0	0	0	0	3
32	14	0	0.674095138	0	0	0	0	0	0	0	0	0	0	3
33	14	0	0.695160611	0	0	0	0	0	0	0	0	0	0	3
34	14	0	0.716226084	0	0	0	0	0	0	0	0	0	0	3
35	15	0	0.737291557	0	0	0	0	0	0	0	0	0	0	3
36	15	0	0.75835703	0	0	0	0	0	0	0	0	0	0	3
37	16	0	0.779422503	0	0	0	0	0	0	0	0	0	0	3
38	16	0	0.800487976	0	0	0	0	0	0	0	0	0	0	3
39	16	0	0.821553449	0	0	0	0	0	0	0	0	0	0	3
40	17	0	0.842618922	0	0	0	0	0	0	0	0	0	0	3
41	17	0	0.863684396	0	0	0	0	0	0	0	0	0	0	3
42	18	0	0.884749869	0	0	0	0	0	0	0	0	0	0	3
43	18	0	0.905815342	0	0	0	0	0	0	0	0	0	0	3
44	18	0	0.926880815	0	0	0	0	0	0	0	0	0	0	3
45	19	0	0.947946288	0	0	0	0	0	0	0	0	0	0	3
46	19	0	0.969011761	0	0	0	0	0	0	0	0	0	0	3
47	20	0	0.990077234	0	0	0	0	0	0	0	0	0	0	3
48	20	0	1.01114271	0	0	0	0	0	5e-06	0	0	0	0	3
49	20	0	1.03220818	0	0	0	0	0	5e-06	0	0	0	0	3
50	21	0	1.05327365	0	0	0	0	0	5e-06	0	0	0	0	3
51	21	0	1.07433913	0	0	0	0	0	5e-06	0	0	0	0	3
52	22	0	1.0954046	0	0	0	0	0	5e-06	0	0	0	0	3
53	22	0	1.11647007	0	0	0	0	0	5e-06	0	0	0	0	3
54	22	0	1.13753555	0	0	0	0	0	5e-06	0	0	0	0	3
