Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0210654731	3.43204733	3.43204733	3.43204733	3.43204733	0	0	0	0	0	0	3
2	2	0	0.0421309461	2.38838022	2.91021377	2.38838022	3.43204733	0.521833552	0	0	0	0	0	3
3	3	0	0.0631964192	2.3964321	2.73895322	2.38838022	3.43204733	0.693094109	0	0	0	0	0	3
4	3	0	0.0842618922	2.33075459	2.63690356	2.33075459	3.43204733	0.795143766	0	0	0	0	0	3
5	3	0	0.105327365	2.34830892	2.57918463	2.33075459	3.43204733	0.852862694	0	0	0	0	0	3
6	4	0	0.126392838	2.36293351	2.54314278	2.33075459	3.43204733	0.888904549	0	0	0	0	0	3
7	4	0	0.147458311	2.18632787	2.49216922	2.18632787	3.43204733	0.939878106	0	0	0	0	0	3
8	5	0	0.168523784	1.96947831	2.42683286	1.96947831	3.43204733	1.00521447	0	0	0	0	0	3
9	5	0	0.189589258	1.29644543	2.30123425	1.29644543	3.43204733	1.13081307	0	0	0	0	0	3
10	5	0	0.210654731	0.686257789	2.13973661	0.686257789	3.43204733	1.29231072	0	0	0	0	0	3
11	6	0	0.231720204	0.280631284	1.97072703	0.280631284	3.43204733	1.4613203	0	0	0	0	0	3
12	6	0	0.252785677	-0.0879307464	1.79917222	-0.0879307464	3.43204733	1.63287511	0	0	0	0	0	3
13	6	0	0.27385115	-0.385901984	1.63108959	-0.385901984	3.43204733	1.80095774	0	0	0	0	0	3
14	7	0	0.294916623	-0.78641058	1.458411	-0.78641058	3.43204733	1.97363632	0	0	0	0	0	3
15	7	0	0.315982096	-1.05267041	1.29100558	-1.05267041	3.43204733	2.14104175	0	0	0	0	0	3
16	8	0	0.337047569	-0.688434799	1.16729055	-1.05267041	3.43204733	2.26475677	0	0	0	0	0	3
17	8	0	0.358113042	-0.784849188	1.0524588	-1.05267041	3.43204733	2.37958852	0	0	0	0	0	3
18	8	0	0.379178515	-1.22192657	0.92610406	-1.22192657	3.43204733	2.50594327	0	0	0	0	0	3
19	9	0	0.400243988	-0.789214394	0.835824141	-1.22192657	3.43204733	2.59622319	0	0	0	0	0	3
20	9	0	0.421309461	-0.228099458	0.782627961	-1.22192657	3.43204733	2.64941937	0	0	0	0	0	3
21	9	0	0.442374934	-0.691925662	0.712411122	-1.22192657	3.43204733	2.7196362	0	0	0	0	0	3
