Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0210654731	101788.599	101788.599	101788.599	101788.599	0	0	0	0	0	0	3
2	2	0	0.0421309461	101490.069	101639.334	101490.069	101788.599	149.264837	0	0	0	0	0	3
3	3	0	0.0631964192	102668.447	101982.372	101490.069	102668.447	343.03785	0	0	0	0	0	3
4	3	0	0.0842618922	102438.895	102096.503	101490.069	102668.447	457.168633	0	0	0	0	0	3
5	3	0	0.105327365	103608.784	102398.959	101490.069	103608.784	759.624919	0	0	0	0	0	3
6	4	0	0.126392838	103239.665	102539.077	101490.069	103608.784	899.74257	0	0	0	0	0	3
7	4	0	0.147458311	103698.44	102704.7	101490.069	103698.44	1065.36586	0	0	0	0	0	3
8	5	0	0.168523784	103808.228	102842.641	101490.069	103808.228	1203.30684	0	0	0	0	0	3
9	5	0	0.189589258	104264.002	103000.57	101490.069	104264.002	1361.23583	0	0	0	0	0	3
10	5	0	0.210654731	104811.387	103181.651	101490.069	104811.387	1542.31757	0	0	0	0	0	3
11	6	0	0.231720204	105296.693	103373.928	101490.069	105296.693	1734.59407	0	0	0	0	0	3
12	6	0	0.252785677	105700.14	103567.779	101490.069	105700.14	1928.44505	0	0	0	0	0	3
13	6	0	0.27385115	106055.532	103759.145	101490.069	106055.532	2119.81067	0	0	0	0	0	3
14	7	0	0.294916623	106529.179	103957.004	101490.069	106529.179	2317.67027	0	0	0	0	0	3
15	7	0	0.315982096	106229.213	104108.485	101490.069	106529.179	2469.15087	0	0	0	0	0	3
16	8	0	0.337047569	105604.615	104201.993	101490.069	106529.179	2562.65901	0	0	0	0	0	3
17	8	0	0.358113042	105731.235	104291.948	101490.069	106529.179	2652.61442	0	0	0	0	0	3
18	8	0	0.379178515	104864.267	104323.744	101490.069	106529.179	2684.4099	0	0	0	0	0	3
19	9	0	0.400243988	103986.077	104305.972	101490.069	106529.179	2684.4099	0	0	0	0	0	3
20	9	0	0.421309461	105878.356	104384.591	101490.069	106529.179	2745.25718	0	0	0	0	0	3
21	9	0	0.442374934	104772.692	104403.072	101490.069	106529.179	2763.73818	0	0	0	0	0	3
22	10	0	0.463440407	105759.283	104464.718	101490.069	106529.179	2825.38414	0	0	0	0	0	3
23	10	0	0.48450588	105241.551	104498.493	101490.069	106529.179	2859.15949	0	0	0	0	0	3
24	11	0	0.505571353	104944.695	104517.085	101490.069	106529.179	2877.75121	0	0	0	0	0	3
25	11	0	0.526636827	104498.223	104629.986	101490.069	106529.179	2990.65221	0	0	0	0	0	3
26	11	0	0.5477023	105178.415	104783.667	102438.895	106529.179	2801.29544	0	0	0	0	0	3
27	12	0	0.568767773	104146.936	104845.271	102438.895	106529.179	2748.76834	0	0	0	0	0	3
28	12	0	0.589833246	103968.083	104908.987	103239.665	106529.179	2510.0282	0	0	0	0	0	3
29	12	0	0.610898719	103100.238	104887.798	103100.238	106529.179	2369.91055	0	0	0	0	0	3
30	13	0	0.631964192	104429.784	104937.386	103100.238	106529.179	2232.68614	0	0	0	0	0	3
31	13	0	0.653029665	103312.071	104921.287	103100.238	106529.179	2094.74516	0	0	0	0	0	3
32	14	0	0.674095138	104974.117	104969.866	103100.238	106529.179	1969.29619	0	0	0	0	0	3
33	14	0	0.695160611	103866.302	104953.295	103100.238	106529.179	1788.21446	0	0	0	0	0	3
34	14	0	0.716226084	103144.082	104883.824	103100.238	106529.179	1595.93796	0	0	0	0	0	3
35	15	0	0.737291557	104787.033	104862.588	103100.238	106529.179	1402.08698	0	0	0	0	0	3
36	15	0	0.75835703	103820.876	104784.286	103100.238	106529.179	1210.72136	0	0	0	0	0	3
37	16	0	0.779422503	103067.901	104659.801	103067.901	106529.179	1012.86175	0	0	0	0	0	3
38	16	0	0.800487976	104701.204	104583.635	103067.901	106229.213	861.381154	0	0	0	0	0	3
39	16	0	0.821553449	103751.545	104480.399	103067.901	105878.356	767.873015	0	0	0	0	0	3
40	17	0	0.842618922	103049.432	104373.933	103049.432	105878.356	677.917607	0	0	0	0	0	3
41	17	0	0.863684396	102201.229	104226.85	102201.229	105878.356	743.01636	0	0	0	0	0	3
42	18	0	0.884749869	101773.75	104098.078	101773.75	105878.356	871.787877	0	0	0	0	0	3
43	18	0	0.905815342	101264.386	103984.674	101264.386	105878.356	985.191685	0	0	0	0	0	3
44	18	0	0.926880815	102569.369	103846.8	101264.386	105759.283	1123.06615	0	0	0	0	0	3
45	19	0	0.947946288	103325.042	103786.481	101264.386	105759.283	1183.38492	0	0	0	0	0	3
46	19	0	0.969011761	102681.969	103658.26	101264.386	105241.551	1311.60634	0	0	0	0	0	3
47	20	0	0.990077234	104025.862	103607.606	101264.386	105178.415	1362.26004	0	0	0	0	0	3
48	20	0	1.01114271	103029.008	103527.786	101264.386	105178.415	1442.0803	453.740962	0	0	0	0	3
49	20	0	1.03220818	102517.645	103445.262	101264.386	105178.415	1524.6044	453.740962	0	0	0	0	3
50	21	0	1.05327365	101663.31	103298.799	101264.386	104974.117	1671.06712	453.740962	0	0	0	0	3
51	21	0	1.07433913	100994.283	103167.438	100994.283	104974.117	1802.42764	461.50046	0	0	0	0	3
52	22	0	1.0954046	102279.262	103097.071	100994.283	104974.117	1872.79518	465.380209	0	0	0	0	3
53	22	0	1.11647007	102710.617	103080.837	100994.283	104974.117	1889.0294	467.708059	0	0	0	0	3
54	22	0	1.13753555	101915.524	102976.076	100994.283	104974.117	1993.79021	469.259958	0	0	0	0	3
