Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0210654731	293.131325	293.131325	293.131325	293.131325	0	0	0	0	0	0	3
2	2	0	0.0421309461	293.123071	293.127198	293.123071	293.131325	0.00412683681	0	0	0	0	0	3
3	3	0	0.0631964192	293.123127	293.125841	293.123071	293.131325	0.00548399634	0	0	0	0	0	3
4	3	0	0.0842618922	293.12027	293.124448	293.12027	293.131325	0.00687674964	0	0	0	0	0	3
5	3	0	0.105327365	293.121522	293.123863	293.12027	293.131325	0.00746195947	0	0	0	0	0	3
6	4	0	0.126392838	293.118972	293.123048	293.118972	293.131325	0.00827714305	0	0	0	0	0	3
7	4	0	0.147458311	293.118376	293.122381	293.118376	293.131325	0.00894457324	0	0	0	0	0	3
8	5	0	0.168523784	293.116856	293.12169	293.116856	293.131325	0.00963514589	0	0	0	0	0	3
9	5	0	0.189589258	293.115648	293.121019	293.115648	293.131325	0.0103064375	0	0	0	0	0	3
10	5	0	0.210654731	293.114099	293.120327	293.114099	293.131325	0.0109984288	0	0	0	0	0	3
11	6	0	0.231720204	293.111623	293.119535	293.111623	293.131325	0.0117896768	0	0	0	0	0	3
12	6	0	0.252785677	293.109412	293.118692	293.109412	293.131325	0.0126332961	0	0	0	0	0	3
13	6	0	0.27385115	293.106625	293.117764	293.106625	293.131325	0.0135615416	0	0	0	0	0	3
14	7	0	0.294916623	293.102948	293.116705	293.102948	293.131325	0.0146198076	0	0	0	0	0	3
15	7	0	0.315982096	293.098388	293.115484	293.098388	293.131325	0.0158409606	0	0	0	0	0	3
16	8	0	0.337047569	293.092664	293.114058	293.092664	293.131325	0.0172671979	0	0	0	0	0	3
17	8	0	0.358113042	293.084389	293.112313	293.084389	293.131325	0.0190124306	0	0	0	0	0	3
18	8	0	0.379178515	293.072461	293.110099	293.072461	293.131325	0.0212264383	0	0	0	0	0	3
19	9	0	0.400243988	293.06096	293.107512	293.06096	293.131325	0.0238127083	0	0	0	0	0	3
20	9	0	0.421309461	293.055873	293.10493	293.055873	293.131325	0.0263946908	0	0	0	0	0	3
21	9	0	0.442374934	293.040383	293.101857	293.040383	293.131325	0.0294683606	0	0	0	0	0	3
22	10	0	0.463440407	293.035957	293.098861	293.035957	293.131325	0.0324637935	0	0	0	0	0	3
23	10	0	0.48450588	293.027829	293.095773	293.027829	293.131325	0.0355521741	0	0	0	0	0	3
24	11	0	0.505571353	293.018678	293.092561	293.018678	293.131325	0.0387644471	0	0	0	0	0	3
25	11	0	0.526636827	293.01195	293.087587	293.01195	293.123127	0.0396115772	0	0	0	0	0	3
26	11	0	0.5477023	293.010839	293.08291	293.010839	293.123127	0.0429307722	0	0	0	0	0	3
27	12	0	0.568767773	293.010881	293.078233	293.010839	293.121522	0.0462149233	0	0	0	0	0	3
28	12	0	0.589833246	293.01566	293.073875	293.010839	293.121522	0.0499884879	0	0	0	0	0	3
29	12	0	0.610898719	293.019614	293.069628	293.010839	293.118972	0.0534194654	0	0	0	0	0	3
30	13	0	0.631964192	293.031597	293.065988	293.010839	293.118376	0.0563926445	0	0	0	0	0	3
31	13	0	0.653029665	293.043439	293.062866	293.010839	293.116856	0.0588244241	0	0	0	0	0	3
32	14	0	0.674095138	293.070895	293.060951	293.010839	293.115648	0.0600681569	0	0	0	0	0	3
33	14	0	0.695160611	293.084805	293.059665	293.010839	293.114099	0.0606613249	0	0	0	0	0	3
34	14	0	0.716226084	293.101523	293.059141	293.010839	293.111623	0.0603940807	0	0	0	0	0	3
35	15	0	0.737291557	293.125837	293.059734	293.010839	293.125837	0.0595504614	0	0	0	0	0	3
36	15	0	0.75835703	293.141621	293.061076	293.010839	293.141621	0.0586222158	0	0	0	0	0	3
37	16	0	0.779422503	293.160982	293.063341	293.010839	293.160982	0.0575639499	0	0	0	0	0	3
38	16	0	0.800487976	293.189498	293.066947	293.010839	293.189498	0.0563427969	0	0	0	0	0	3
39	16	0	0.821553449	293.206565	293.071454	293.010839	293.206565	0.0549165595	0	0	0	0	0	3
40	17	0	0.842618922	293.223338	293.076899	293.010839	293.223338	0.0531713269	0	0	0	0	0	3
41	17	0	0.863684396	293.237636	293.083284	293.010839	293.237636	0.0509573191	0	0	0	0	0	3
42	18	0	0.884749869	293.238293	293.090194	293.010839	293.238293	0.0483710491	0	0	0	0	0	3
43	18	0	0.905815342	293.243346	293.097793	293.010839	293.243346	0.0457890667	0	0	0	0	0	3
44	18	0	0.926880815	293.260473	293.106318	293.010839	293.260473	0.04717698	0	0	0	0	0	3
45	19	0	0.947946288	293.271128	293.115933	293.010839	293.271128	0.0567913452	0	0	0	0	0	3
46	19	0	0.969011761	293.267268	293.125571	293.010839	293.271128	0.066429304	0	0	0	0	0	3
47	20	0	0.990077234	293.272338	293.135759	293.010839	293.272338	0.0766171816	0	0	0	0	0	3
