Iteration	CPUTime	PhysTime	Travels
1	2	0	0.0210654731
2	2	0	0.0421309461
3	3	0	0.0631964192
4	3	0	0.0842618922
5	3	0	0.105327365
6	4	0	0.126392838
7	4	0	0.147458311
8	5	0	0.168523784
9	5	0	0.189589258
10	5	0	0.210654731
11	6	0	0.231720204
12	6	0	0.252785677
13	6	0	0.27385115
14	7	0	0.294916623
15	7	0	0.315982096
16	8	0	0.337047569
17	8	0	0.358113042
18	8	0	0.379178515
19	9	0	0.400243988
20	9	0	0.421309461
21	9	0	0.442374934
22	10	0	0.463440407
23	10	0	0.48450588
24	11	0	0.505571353
25	11	0	0.526636827
26	11	0	0.5477023
27	12	0	0.568767773
28	12	0	0.589833246
29	12	0	0.610898719
30	13	0	0.631964192
31	13	0	0.653029665
32	14	0	0.674095138
33	14	0	0.695160611
34	14	0	0.716226084
35	15	0	0.737291557
36	15	0	0.75835703
37	16	0	0.779422503
38	16	0	0.800487976
39	16	0	0.821553449
40	17	0	0.842618922
41	17	0	0.863684396
42	18	0	0.884749869
43	18	0	0.905815342
44	18	0	0.926880815
45	19	0	0.947946288
46	19	0	0.969011761
47	20	0	0.990077234
48	20	0	1.01114271
49	20	0	1.03220818
50	21	0	1.05327365
51	21	0	1.07433913
52	22	0	1.0954046
53	22	0	1.11647007
54	22	0	1.13753555
